# S1000,,,,,,,,,,,
,,,,,,,,,,,
]Header,HeaderTable,,,,,,,,,,
#,device,protoid,proto,layout,cc_in,rpn_in,nrpn_in,knobs,,,
,S1000,(#48),S1000Proto,S1000Mem,S1000CC,S1000RPN,S1000NRPN,S1000KNOBS,,,
,,,,,,,,,,,
,,,,,,,,,,,
]S1000Proto,ProtoTable,,,,,,,,,,
*,op,-,name,protoid,sys,-,-,-,-,-,string
,RSTAT,,Request Status,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 00 (protoid))
,STAT,,Status Reply,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 01 (protoid) (@(sys) version) (@(sys) max_headers) (@(sys) blkfree) (@(sys) smemmax) (@(sys) smemfree) (@(sys)  xchan))
,RPLIST,,Request Program List,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 02 (protoid))
,PLIST,,Program List Reply,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 03 (protoid) (@(sys) nprogs) (@Layout PLIST))
,RSLIST,,Request Stample List,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 04 (protoid))
,SLIST,,Sample List Reply,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 05 (protoid) (@(sys) nsamples) (@Layout SLIST))
,RPDATA,,Request Program Data,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 06 (protoid))
,PDATA,,Program Data Reply,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 07 (protoid) (@Layout PDATA))
,RKDATA,,Request Keygroup Data,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 08 (protoid))
,KDATA,,Keygroup Data Reply,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 09 (protoid) (@Layout KDATA))
,RSDATA,,Request Sample Headers,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 0A (protoid))
,SDATA,,Sample Header Reply,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 0B (protoid) (@Layout samphdr))
,RSPACK,,Request Sample Data,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 0C (protoid))
,ASPACK,,Accept Sample Data,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 0D (protoid) (@Layout sampdata))
,RDDATA,,Request Drum Settings,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 0E (protoid))
,DDATA,,Drum Data Reply,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 0F (protoid) (@Layout drumdata)
,RMDATA,,Request Misc Data,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 10 (protoid))
,MDATA,,Misc Data Reply,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 11 (protoid) (@Layout miscdata))
,DELP,,Delete Prog & Keygroups,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 12 (protoid) (@PDATA number))
,DELK,,Delete Keygroup,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 13 (protoid))
,DELS,,Delete Sample Hdr & Data,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 14 (protoid) (@SampleParams number))
,SETEX,,Set SYSEX Chan,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 15 (protoid))
,REPLY,,Reply Error/OK,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 16 (protoid))
,CASPACK,,Corrected ASPACK,(Header S1000 Protoid),(]SysParams),,,,,,(# (:xchan) 1D (protoid))
,,,,,,,,,,,
,,,,,,,,,,,
]SysParams,ParamTable,,,,,,,,,,
#,*ident,engine,param,bytec,range,render,scale,shift,units,,
,version,,Version,2,None,MIDI7L,(* 1),(+ 0),Version,,
,max_headers,,Max # of Headers,1,None,MIDI7,(* 1),(+ 0),Count,,
,blkfree,,Free Blocks,2,None,MIDI7L,(* 1),(+ 0),Blocks,,
,smaxmem,,Max Sample Memory,4,None,MIDI7L,(* 1),(+ 0),Bytes,,
,smemfree,,Free Sample Memory,4,None,MIDI7L,(* 1),(+ 0),Bytes,,
,nprogs,,Program Count,2,None,MIDI7L,(* 1),(+ 0),Count,,
,nsamples,,Sample Count,,None,,(* 1),(+ 0),,,
,program,,Program Data,,None,,(* 1),(+ 0),,,
,samphdr,,Sample Header,,None,,(* 1),(+ 0),,,
,sampdata,,Sample Data,,None,,(* 1),(+ 0),,,
,drumdata,,Drum Data,,None,,(* 1),(+ 0),,,
,miscdata,,Miscellaneous Data,,None,,(* 1),(+ 0),,,
,xchan,,Sysex Channel,1,None,NYBBLE,(* 1),(+ 0),Channel,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
]Layout,MemoryMap,,,,,,,,,,
#,ident,-,name,addr,count,stride,map,-,-,value,
,PLIST,,Program List,(#00),1,1,(]PLIST),,,,
,PDATA,,Program Data,(#00),1,1,(]PDATA),,,,
,SLIST,,Sample List,(#00),1,1,(]SLIST),,,,
,,,,,,,,,,,
,,,,,,,,,,,
]PLIST,MemoryMap,,,,,,,,,,
#,ident,-,name,addr,count,stride,map,-,-,value,
,count,,Program Count,(#00),2,1,,,,(@ PLParams count),
,names,,Program Names,(#02),(@count count),12,,,,(@ PLParams name),
,,,,,,,,,,,
,,,,,,,,,,,
]PLParams,ParamTable,,,,,,,,,,
#,*ident,engine,param,bytec,range,render,scale,shift,units,,
,count,,Program Count,2,,MIDI7L,(* 1),(+ 0),count,,
,name,,Program Name,12,,AKAISCII,(* 1),(+ 0),,,
,,,,,,,,,,,
,,,,,,,,,,,
]PDATA,MemoryMap,,,,,,,,,,
#,ident,-,name,addr,count,stride,map,-,-,value,
,block_flag,,Program Header Flag,(#00),1,1,,,,(@PDParams block_flag),
,kg1_addr,,Key Group 1 Address,(#02),1,1,,,,(@PDParams kg1_addr),
,name,,Program Name,(#06),1,1,,,,(@PDParams name),
,midi_pc,,MIDI Program Number,(#12),1,1,,,,(@PDParams midi_pc),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
]PDParams,ParamTable,,,,,,,,,,
#,*ident,engine,param,bytec,range,render,scale,shift,units,,
,block_flag,,Program Header Flag,2,1..1,NYBBLE,(* 1),(+ 0),1 (constant),,
,kg1_addr,,Key Group 1 Address,4,0..0,NYBBLE,(* 1),(+ 0),(internal),,
,name,,Program Name,12,0..40,AKAISCII,(* 1),(+ 0),chars,,
,midi_pc,,MIDI Program Number,1,0..127,NYBBLE,(* 1),(+ 0),int,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
# map odd char sets,,,,,,,,,,,
]CHARSETS,CharSetTable,,,,,,,,,,
]],Charset Name,Character,Ascii Equiv,Notes,,,,,,,
*,name,char,ascii,notes,,,,,,,
,akaiscii,0..9,(#30)..(#39),Ascii 0 to 9,,,,,,,
,akaiscii,10,(#20),Ascii Space,,,,,,,
,akaiscii,11..36,(#41)..(#5A),Ascii A to Z,,,,,,,
,akaiscii,37,(#23),Ascii #,,,,,,,
,akaiscii,38,(#2B),Ascii +,,,,,,,
,akaiscii,39,(#2D),Ascii -,,,,,,,
,akaiscii,40,(#2E),Ascii .,,,,,,,
