# sysex.csv,system exclusive database,,,,,,,,,,,,,,,,,,,,
#  column A,comments,# in col A,,,,,,,,,,,,,,,,,,,
#  column B,blank lines,col B empty,for formatting,,,,,,,,,,,,,,,,,,
# column A,]table_name,start of table named name,field names follow,on same line,,,,,,,,,,,,,,,,,
# table declaration row,:field,values for field are unique,,,,,,,,,,,,,,,,,,,
# data row value,[nn nn],string of hex values,,,,,,,,,,,,,,,,,,,
# data row value,nn,"decimal int, may be negative",,,,,,,,,,,,,,,,,,,
# data row value,nn.nn,"decimal float, may be negative",,,,,,,,,,,,,,,,,,,
# data row value,NNh,8-but hex number,,,,,,,,,,,,,,,,,,,
# data row value,@func,method specifier,,,,,,,,,,,,,,,,,,,
# data row value,@func;param1;param2,method specifier with args,,,,,,,,,,,,,,,,,,,
# data row value,val1;val2;val3,enumerated values,,,,,,,,,,,,,,,,,,,
# data row value,nn..mm,int range from nn to mm inclusive,,,,,,,,,,,,,,,,,,,
# data row value,nn.nn..mm.mm,float range from nn to mm inclusive,,,,,,,,,,,,,,,,,,,
# data row value,NNh..MMh,"8-bit hex range from NN to MM, inc.",,,,,,,,,,,,,,,,,,,
# data row value,]table,value is table table,,,,,,,,,,,,,,,,,,,
# data row value,]table:key,value is table of rows,matching key,,,,,,,,,,,,,,,,,,
# data row value,]table;a=v;a=v,value is table of rows,where v in a in table,,,,,,,,,,,,,,,,,,
# data row value,]table:key;a=v;a=v,value is table of rows,matching key,each v in a in table,(shorthand),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
]Vendor,VendorTable,,,,,,,,,,,,,,,,,,,,
# vendor table.,,,,,,,,,,,,,,,,,,,,,
]],Alias,Company Name,MMA sysex ID,,,,,,,,,,,,,,,,,,
*,*vendor,name,vendor_id,,,,,,,,,,,,,,,,,,
,akai,Akai,[47],,,,,,,,,,,,,,,,,,
,alesis,Alesis,[00 00 0E],,,,,,,,,,,,,,,,,,
,behr,Behringer,[00 20 32],,,,,,,,,,,,,,,,,,
,boss,Boss,[41],,,,,,,,,,,,,,,,,,
,digi,Digitech,[00 00 10],,,,,,,,,,,,,,,,,,
,djtt,DJ TechTools,[00 01 79],,,,,,,,,,,,,,,,,,
,dsi,Dave Smith Instruments,[01],,,,,,,,,,,,,,,,,,
,emu,E-MU,[18],,,,,,,,,,,,,,,,,,
,fishman,Fishman,[00 01 6E],,,,,,,,,,,,,,,,,,
,kurzweil,Kurzweil,[07],,,,,,,,,,,,,,,,,,
,livid,Livid,[00 01 61],,,,,,,,,,,,,,,,,,
,maudio,M-Audio,[00 20 08],,,,,,,,,,,,,,,,,,
,megalite,MegaLite,[00 01 71],,,,,,,,,,,,,,,,,,
,music_computing,Music Computing,[00 01 76],,,,,,,,,,,,,,,,,,
,novation,Novation,[00 20 29],,,,,,,,,,,,,,,,,,
,roland,Roland,[41],,,,,,,,,,,,,,,,,,
,rsd,Roger Linn Design,[00 01 37],,,,,,,,,,,,,,,,,,
,yamaha,Yamaha,[43],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
]ModelAlias,Aliases,,,,,,,,,,,,,,,,,,,,
# models using,the same sysex,protocol,,,,,,,,,,,,,,,,,,,
]],Model Name,... is a,,,,,,,,,,,,,,,,,,,
*,:model,same_as,,,,,,,,,,,,,,,,,,,
,S2000,S1000,,,,,,,,,,,,,,,,,,,
,S3000XL,S1000,,,,,,,,,,,,,,,,,,,
,AT75.GS,AT100.GS,,,,,,,,,,,,,,,,,,,
,AT75.Organ,AT100.Organ,,,,,,,,,,,,,,,,,,,
,AT300.GS,AT100.GS,,,,,,,,,,,,,,,,,,,
,AT300.Organ,AT100.Organ,,,,,,,,,,,,,,,,,,,
,EP-90,EP-70,,,,,,,,,,,,,,,,,,,
,F-30,F-100,,,,,,,,,,,,,,,,,,,
,F-50,F-100,,,,,,,,,,,,,,,,,,,
,HP-2,DP-900,,,,,,,,,,,,,,,,,,,
,HP-245,HP-330,,,,,,,,,,,,,,,,,,,
,HP-530,HP-330,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
# device info,,,,,,,,,,,,,,,,,,,,,
]DeviceInfo,DeviceInfo,,,,,,,,,,,,,,,,,,,,
]],Model Name,]vendor:vendor,IDRQ Response,ID for protocol,Data Pack Algo,Data Pack Algo,Device Type,,,,,,,,,,,,,,
*,:model,vendor,id_response,model_id,pack_one,pack_all,type,,,,,,,,,,,,,,
,S1000,akai,,[48],,,sam,,,,,,,,,,,,,,
,NanoSynth,alesis,[0E 00 07 00],,,serp,rom;midi_s,,,,,,,,,,,,,,
,FCB1010,behr,,[0C],,@hbb_lsb;8,ctrl,,,,,,,,,,,,,,
,DR-670,boss,,[00 41],,,drum;seq,,,,,,,,,,,,,,
,SE-50,boss,,[37],,,efx,,,,,,,,,,,,,,
,DSP-256XL,digi,,,,,efx,,,,,,,,,,,,,,
,GFX-1,digi,,[0C],,,efx,,,,,,,,,,,,,,
,GSP-21,digi,,,,,efx,,,,,,,,,,,,,,
,MidiFighter3D,djtt,[03 00 01 00],,,,unk,,,,,,,,,,,,,,
,MidiFighterSpectra,djtt,[04 00 01 00],,,,unk,,,,,,,,,,,,,,
,MidiFighterTwister,djtt,[05 00 01 00],,,,unk,,,,,,,,,,,,,,
