# yamaha,reface,,,,,,,,,
,,,,,,,,,,
]reface_Proto,Protocol,,,,,,,,,
*,op,...,...,...,...,...,...,...,...,string
,BULK RQ,,,,,,,,,[2n :group :model_id :addr]
,BULK DUMP,,,,,,,,,[0n :group :count_hi :count_lo :model_id :addr ]:map :sum]
,PARAM RQ,,,,,,,,,[3n :group :model_id :addr]
,PARAM SET,,,,,,,,,[1n :group :model_id :addr ]:map]
,,,,,,,,,,
]refaceCP_Map,,,,,,,,,,
,refaceCP,cp.sys,[00 00 00],1,0,refaceSystem,,,,
,refaceCP,part,[30 00 00],1,0,refaceCP,,,,
,refaceCS,cs.sys,[00 00 00],1,0,refaceSystem,,,,
,refaceCS,part,[30 00 00],1,0,refaceCS,,,,
,refaceDX,ds.sys,[00 00 00],1,0,]refaceSystem,,,,
,refaceDX,part,[30 00 00],1,0,refaceDXPart,,,,
,refaceDX,op,[31 00 00],4,[01 00],refaceDXOp,,,,
,refaceYC,yc.sys,[00 00 00],1,0,refaceSystem,,,,
,refaceYC,part,[30 00 00],1,0,refaceYC,,,,
,FCB1010,patch,[00 00 00],100,10h,FCB1010,,,,
,,,,,,,,,,
]refaceSystem,,,,,,,,,,
*,id,offset,bytec,engine,name,range,render,scale,shift,units
#,,[00 00 00],,,,,,,,
,sys.tx.chan,00h,1,cp;cs;dx;yc,MIDI Transmit Channel,0..15;127,MIDI7,1,0,1..16;off
,sys.rx.chan,01h,1,cp;cs;dx;yc,MIDI Receive Channel,0..15;127,MIDI7,1,0,1..16;off
,sys.tune,02h,1,cp;cs;dx;yc,Master Tune,0..2047,NYBBLE,0.1,-1024,cents
,sys.sw.local_ctrl,06h,1,cp;cs;dx;yc,Local Control,0;1,MIDI7,1,0,off;on
,sys.transpose,07h,1,cp;cs;dx;yc,Master Transpose,43h..5Ch,MIDI7,1,-12,-12..+12 semitones
,sys.tempo,08h,2,cs;dx,Tempo,30..300,MIDI7,1,0,bpm
,sys.lcd.contrast,0Ah,1,dx,LCD Contrast,0..63,MIDI7,1,0,
,sys.sw.ped.0.type,0Bh,1,cp;dx,Sus Pedal Type,0;1,MIDI7,1,0,fc3;fc4/5
,sys.sw.apo,0Ch,1,cp;cs;dx;yc,Auto Power Off,0;1,MIDI7,1,0,off;on
,sys.sw.speaker,0Dh,1,cp;cs;dx;yc,Speaker On/Off,0;1,MIDI7,1,0,off;on
,sys.sw.midi_ctrl,0Eh,1,cp;cs;dx;yc,Midi Control On/Off,0;1,MIDI7,1,0,off;on
,sys.pb.range,0Fh,1,cp;cs,Pitch Bend Range,28h..56h,MIDI7,1,-24,-24..+24 semitones
,sys.sw.ped.0.func,14h,1,cp;cs,Foot Volume/Sustain,0;1,MIDI7,1,0,vol;sus
,,,,,,,,,,
,,,,,,,,,,
]refaceCP,,,,,,,,,,
*,id,offset,bytec,engine,name,range,render,scale,shift,units
#,,[30 00 00],,,,,,,,
,,,,,,,,,,
]refaceCS,,,,,,,,,,
*,id,offset,bytec,engine,name,range,render,scale,shift,units
#,,[30 00 00],,,,,,,,
,part.volume,00h,1,cs,Volume,0..127,MIDI7,1,0,0..127
