# yamaha.xg.csv,,,,,,,,,,,
#,Yamaha,XG,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
## MAPS,,,,,,,,,,,
]XG_Map,MemoryMap,,,,,,,,,,
*,*id,name,address,count,stride,map,...,...,...,values,
,sys,XG System,(#00 00 00),1,1,XG_System,,,,,
,info,XG Info,(#01 00 00),1,1,XG_Info,,,,,
,effect,XG Effect,(#02 01 00),1,1,XG_Effect,,,,,
,multieq,,(#02 40 00),1,1,XG_MultiEQ,,,,,
,effect.ins,,(#03 00 00),2,(#01 00),XG_InsEffect,,,,,
,display.letter,,(#06 00 00),1,1,XG_DispLetter,,,,,
,display.bitmap,,(#07 00 00),1,1,XG_DispBits,,,,,
,part,,(#08 00 00),32,(#01 00),XG_Part,,,,,
,addl_part,,(#0A 00 00),32,(#01 00),XG_PartAddl,,,,,
,ad.part,,(#10 00 00),2,(#01 00),XG_ADPart,,,,,
,ad.sys,,(#11 00 00),1,1,XG_ADSys,,,,,
,drum,,(#30 0D 00),4,(#01 00 00),XG_Drum,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
]XG_Effect,MemoryMap,,,,,,,,,,
*,*id,name,addr_offset,count,stride,map,-,-,-,values,
#  Reverb,,,(#02 01 00),,,,,,,,
,effect.rev,Reverb Type,(#00),1,1,,,,,(]ReverbEffects),
,effect.rev.param.a,Reverb Param,(#02),10,1,,,,,(* (ReverbEffects (effect.rev _value)  table) (% param. (_ix))),
,effect.rev.return,Reverb Return,(#0C),1,1,,,,,(* FXCommon return),
,effect.rev.pan,Reverb Pan,(#0D),1,1,,,,,(* FXCommon pan),
,effect.rev.param.b,Reverb Param,(#10),6,1,,,,,(* (ReverbEffects (effect.rev _value) table) (% param. (+ 10 (_ix)))),
#,,,,,,,,,,,
#  Chorus,,,(#02 01 00),,,,,,,,
,effect.cho,Chorus Type,(#20),1,1,,,,,(]ChorusEffects),
,effect.cho.param.a,Chorus Param,(#22),10,1,,,,,(* (ChorusEffects (effect.cho _value) table) (% param. (_ix))),
,effect.cho.return,Chorus Return,(#2C),1,1,,,,,(* FXCommon return),
,effect.cho.pan,Chorus Pan,(#2D),1,1,,,,,(* FXCommon pan),
,effect.cho.send.rev,Chorus Reverb Send,(#2E),1,1,,,,,(* FXCommon send),
,effect.cho.param.b,Chorus Param,(#30),6,1,,,,,(* (ChorusEffects (effect.cho _value) table) (% param. (+ 10 (_ix)))),
#,,,,,,,,,,,
#  Variation,,,(#02 01 00),,,,,,,,
,effect.var,Variation Type,(#40),1,1,,,,,(]VariationEffects),
,effect.var.param.a,Variation Param,(#42),10,2,,,,,(* (VariationEffects (effect.var _value) table) (% param. (_ix))),
,effect.var.return,Variation Return,(#56),1,1,,,,,(* FXCommon return),
,effect.var.pan,Variation Pan,(#57),1,1,,,,,(* FXCommon pan),
,effect.var.send.rev,Variation Reverb Send,(#58),1,1,,,,,(* FXCommon send),
,effect.var.send.cho,Variation Chorus Send,(#59),1,1,,,,,(* FXCommon send),
,effect.var.insert,Variation System or Ins,(#5A),1,1,,,,,(* FXCommon insert),
,effect.var.part,Variation Part Number,(#5B),1,1,,,,,(* FXCommon part),
,effect.var.depth.mw,MW Variation Depth,(#5C),1,1,,,,,(* FXCommon depth),
,effect.var.depth.pb,Bend Variation Depth,(#5D),1,1,,,,,(* FXCommon depth),
,effect.var.depth.cat,CAT Variation Depth,(#5E),1,1,,,,,(* FXCommon depth),
,effect.var.depth.ac1,AC1 Variation Depth,(#5F),1,1,,,,,(* FXCommon depth),
,effect.var.depth.ac2,AC2 Variation Depth,(#60),1,1,,,,,(* FXCommon depth),
,effect.var.param.b,Variation Param,(#70),6,1,,,,,(* (VariationEffects (effect.var _value) table) (% param. (+ 10 (_ix)))),
,,,,,,,,,,,
)XG_System,ParamMap,,,,,,,,,,
*,id,name,addr_offset,bytec,engine,range,render,scale,shift,units,
,,,(#00 00 00) base,,,,,,,,
,sys.master.tune,Master Tune,(#00),4,sys,0..127,NYBBLE,0.1,-2048,cents,# -1024
,sys.master.volume,Master Volume,(#04),1,sys,0..127,MIDI7,1,0,@0..127,
,sys.master.attenuator,Master Attenuator,(#05),1,sys,0..127,MIDI7,1,0,@0..127,
,sys.transpose,Transpose,(#06),1,sys,(#28)..(#56),MIDI7,1,-64,@-24..+24 semitones,
,sys.reset.drum,Drum Reset,(#7D),1,sys,1..4,MIDI7,1,0,@1..4 drum setup,
,sys.on,XG System ON,(#7E),1,sys,0,MIDI7,1,0,XG system on,
,sys.reset.all,XG System Reset,(#7F),1,sys,0,MIDI7,1,0,reset all parameters,
,,,,,,,,,,,
]XG_Info,ParamMap,,,,,,,,,,
*,id,name,addr_offset,bytec,engine,range,render,scale,shift,units,
#,,,(#01 00 00),,,,,,,,
,info.model_name,Device Name,(#00),14,info,(#20)..(#7F),MIDI7,1,0,ascii,
,info.xg_level.1,XG Level 1,(#0E),1,info,1..127,MIDI7,1,0,@1..127,
,info.xg_level.2,XG Level 2,(#0F),1,info,1..127,MIDI7,1,0,@1..127,
,,,,,,,,,,,
,,,,,,,,,,,
]FXCommon,,,,,,,,,,,
*,*id,name,addr_offset,bytec,wildcard,range,render,scale,shift,units,
,send,Reverb Send,0,1,None,0..127,MIDI7,1,0,@0..127,
,return,Reverb Return,0,1,None,0..127,MIDI7,0.2,-96,@-inf..+6 dB,
,pan,Reverb Pan,0,1,None,1..127,MIDI7,1,-64,@left..right,
,insert,Variation System or Ins,0,1,None,0;1,MIDI7,1,0,insert;system,
,part,Variation Part Number,0,1,None,0..31;64;65;127,MIDI7,1,0,@part1..part32;ad1;ad2;off,
,depth,Variation Mod Depth,0,1,None,1..127,MIDI7,1,-64,@-63..+63,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
## LOOKUPS,,,,,,,,,,,
,,,,,,,,,,,
]ReverbEffects,LookupTable,# MU100,,,,,,,,,
*,id,name,*value,table,,,,,,,
,rev.off,OFF,(#00 00),None,,,,,,,
,rev.hall.1,HALL1,(#01 00),XG_ReverbSmall,,,,,,,
,rev.hall.2,HALL2,(#01 01),XG_ReverbSmall,,,,,,,
,rev.room.1,ROOM1,(#02 00),XG_ReverbSmall,,,,,,,
,rev.room.2,ROOM2,(#02 01),XG_ReverbSmall,,,,,,,
,rev.room.3,ROOM3,(#02 02),XG_ReverbSmall,,,,,,,
,rev.stage.1,STAGE1,(#03 00),XG_ReverbSmall,,,,,,,
,rev.stage.2,STAGE2,(#03 01),XG_ReverbSmall,,,,,,,
,rev.plate,PLATE,(#04 00),XG_ReverbSmall,,,,,,,
,rev.white_room,WHITE ROOM,(#10 00),XG_ReverbBig,,,,,,,
,rev.tunnel,TUNNEL,(#11 00),XG_ReverbBig,,,,,,,
,rev.canyon,CANYON,(#12 00),XG_ReverbBig,,,,,,,
,rev.basement,BASEMENT,(#13 00),XG_ReverbBig,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
]ChorusEffects,LookupTable,# MU100,,,,,,,,,
*,id,name,*value,table,,,,,,,
,cho.chorus.1,CHORUS1,(#41 00),XG_ChorusParams,,,,,,,
,cho.chorus.2,CHORUS2,(#41 01),XG_ChorusParams,,,,,,,
,cho.chorus.3,CHORUS3,(#41 02),XG_ChorusParams,,,,,,,
,cho.chorus.4,CHORUS4,(#41 08),XG_ChorusParams,,,,,,,
,cho.celeste.1,CELESTE1,(#42 00),XG_ChorusParams,,,,,,,
,cho.celeste.2,CELESTE2,(#42 01),XG_ChorusParams,,,,,,,
,cho.celeste.3,CELESTE3,(#42 02),XG_ChorusParams,,,,,,,
,cho.celeste.4,CELESTE4,(#42 08),XG_ChorusParams,,,,,,,
,cho.flanger.1,FLANGER1,(#43 00),XG_Flanger,,,,,,,
,cho.flanger.2,FLANGER2,(#43 01),XG_Flanger,,,,,,,
,cho.flanger.3,FLANGER3,(#43 08),XG_Flanger,,,,,,,
,cho.symphonic,SYMPHONIC,(#44 00),XG_Symphonic,,,,,,,
,cho.phaser.1,PHASER1,(#48 00),XG_Phaser1,,,,,,,
,cho.ens_detune,ENSEMBLE_DETUNE,(#57 00),XG_EnsDetune,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
]VariationEffects,,,,,,,,,,,
*,,name,*id,value,,,,,,,
,var.delay.lcr,DELAY_LCR,(#05 00),XG_DelayLCR,,,,,,,
,var.delay.lr,DELAY_LR,(#06 00),XG_DelayLR,,,,,,,
,var.echo,ECHO,(#07 00),XG_Echo,,,,,,,
,var.cross_delay,CROSS_DELAY,(#08 00),XG_CrossDelay,,,,,,,
,var.early_reflect.1,EARLY_REFLECT1,(#09 00),XG_EarlyReflect,,,,,,,
,var.early_reflect.2,EARLY_REFLECT2,(#09 01),XG_EarlyReflect,,,,,,,
,var.rev.gated,GATED_REVERB,(#0A 00),XG_GateReverb,,,,,,,
,var.rev.reverse,REVERSE_GATE,(#0B 00),XG_GateReverb,,,,,,,
,var.karaoke.1,KARAOKE1,(#14 00),XG_Karaoke,,,,,,,
,var.karaoke.2,KARAOKE2,(#14 01),XG_Karaoke,,,,,,,
,var.karaoke.3,KARAOKE3,(#14 02),XG_Karaoke,,,,,,,
,var.rotary,ROTARY_SPEAKER,(#45 00),XG_RotarySpeaker,,,,,,,
,var.tremolo,TREMOLO,(#46 00),XG_Tremolo,,,,,,,
,var.auto_pan,AUTO_PAN,(#47 00),XG_AutoPan,,,,,,,
,var.phaser.1,PHASER1,(#48 00),XG_Phaser1,,,,,,,
,var.phaser.2,PHASER2,(#48 08),XG_Phaser2,,,,,,,
,var.distortion,DISTORTION,(#49 00),XG_Distortion,,,,,,,
,var.comp+dist,COMP+DISTORTION,(#49 01),,,,,,,,
,var.overdrive,OVERDRIVE,#4A 00),,,,,,,,
,var.amp_sim,AMP SIMULATOR,(#4B 00),,,,,,,,
,var.eq.3_band,3-BAND EQ,(#4C 00),,,,,,,,
,var.eq.2_band,2-BAND EQ,(#4D 00),,,,,,,,
,var.autowah,AUTO WAH (LFO,(#4E 00),,,,,,,,
,var.autowah+dist,AUTO WAH+DIST,(#4E 01),,,,,,,,
,var.autowah+od,AUTO WAH+OD,(#4E 02),,,,,,,,
,var.pitch.1,PITCH CHANGE 1,(#50 00),,,,,,,,
,var.pitch.2,PITCH CHANGE 2,(#50 01),,,,,,,,
,var.aural_exciter,AURAL EXCITER(R,(#51 00),,,,,,,,
,var.twah.1,TOUCH WAH1,(#52 00),,,,,,,,
,var.twah+dist,TOUCH WAH+DIST,(#52 01),,,,,,,,
,var.twah+od,TOUCH WAH+OD,(#52 02),,,,,,,,
,var.twah.2,TOUCH WAH 2,(#52 08),,,,,,,,
,var.comp,COMPRESSOR,(#53 00),,,,,,,,
,var.noise_gate,NOISE GATE,(#54 00),,,,,,,,
,var.voice_cancel,VOICE CANCEL,(#55 00),,,,,,,,
,var.rotary.2-way,2WAY ROTARY SPKR,(#56 00),,,,,,,,
,var.ens_detune,ENSEMBLE_DETUNE,(#57 00),,,,,,,,
,var.ambience,AMBIENCE,(#58 00),,,,,,,,
,var.talk_mod,TALKING MODULATOR,(#5D 00),,,,,,,,
,var.lo-fi,LO-FI,(#5E 00),,,,,,,,
,var.dist+delay,DIST+DELAY,(#5F 00),,,,,,,,
,var.od+delay,OVERDRIVE+DELAY,(#5F 01),,,,,,,,
,var.comp+dist+delay,COMP+DIST+DELAY,(#60 00),,,,,,,,
,var.comp+od+delay,COMP+OD+DELAY,(#60 01),,,,,,,,
,var.wah+dist+delay,WAH+DIST+DELAY,(#61 00),,,,,,,,
,var.wah+od+delay,WAH+OD+DELAY,(#61 01),,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
]XG_ReverbSmall,EffectsParams,"# MU100, p11","HALL 1,2,3","ROOM 1,2,3","STAGE 1,2",PLATE,,,,,
*,id,bytec,wildcard,name,range,render,scale,shift,units,,
,*.param.1,1,rev;var;ins1;ins2,Reverb Time,0..69,MIDI7,(]ReverbTime),0,sec,,
